Date,Close,Return,Cumulative
2023-01-01,6777,,
2023-01-02,88888,12.116128080271507,13.116128080271507
2023-01-03,77,-0.9991337413374134,0.011361959569130614
2023-01-04,6789,87.16883116883118,1.001770694997763
2023-01-05,6777,-0.0017675651789659241,0.9999999999999764
2023-01-06,6777,0.0,0.9999999999999764
2023-01-07,26,-0.9961634941714623,0.0038365058285375823
2023-01-08,6777,259.65384615384613,0.999999999999969
2023-01-09,598,-0.9117603659436329,0.08823963405636441
2023-01-10,5698,8.528428093645484,0.8407850081156595
2023-01-11,6777,0.18936468936468942,0.9999999999999692
2023-01-12,6777,0.0,0.9999999999999692
2023-01-13,6777,0.0,0.9999999999999692
2023-01-14,6777,0.0,0.9999999999999692
2023-01-15,6777,0.0,0.9999999999999692
2023-01-16,6777,0.0,0.9999999999999692
2023-01-17,6777,0.0,0.9999999999999692
2023-01-18,6777,0.0,0.9999999999999692
2023-01-19,6777,0.0,0.9999999999999692
2023-01-20,6777,0.0,0.9999999999999692
2023-01-21,6777,0.0,0.9999999999999692
2023-01-22,6777,0.0,0.9999999999999692
